model,CMT,DeepInteraction,TransFusion,Sparsefusion,BEVfusion,IS-Fusion,UniBEV_cat,UniBEV_avg,UniBEV_cnw,MEFormer,MEFormer w/o PME,MoME
clean,0.729,0.6909,0.7084,0.7315,0.7144,0.7365,0.6782,0.6842,0.6853,0.7385,0.7367,0.7354
RRA_beamsreducing,18.64219677107768,-6.3612529322478295,-7.209879950324272,4.263833310335308,0.0,3.6842831516489705,6.533738098523534,7.616944942734927,5.029667448599429,16.758658755347035,15.171795225610584,15.06140471919415
RRA_brightness,-1.1383917804254517,-3.1498721721094025,1.7992378563503664,3.1788143360185206,0.0,2.2912546428054625,-4.302735034489425,-3.757657614200971,-3.728715450291842,0.8779123052433446,0.7139067097583496,0.4003666007428297
RRA_dark,-0.09633447329125966,-7.215452049515914,1.1463802321660888,1.8207215452049619,0.0,1.2667983237801606,-5.279129136361449,-4.595154375993438,-4.383218534752653,1.5558017436539728,1.5220846780020336,0.6936082076971273
RRA_fog,9.398263027295272,-25.03722084367247,-0.5521091811414469,4.429280397022328,0.0,3.889578163771712,-0.1985111662531125,-1.228287841191067,-1.1042183622828827,8.58560794044665,8.176178660049626,7.8908188585607775
RRA_missingcamera,2.041011881947097,-16.38558834802607,0.3401686469911791,0.2970486776542547,0.0,0.9198926791874174,-5.437907244154861,-5.169605212725193,-5.74932924492143,-0.16768876964355917,-0.7905327711766996,1.6337677270984896
RRA_motionblur,-0.8408343664097706,-7.0770225839487,-5.411523742790935,0.2802781221365791,0.0,3.9939632404462744,-12.504716218401345,-11.77707109362368,-13.119172101546939,-0.3072279415728074,-0.6791354497925117,-0.6845254136797374
RRA_pointsreducing,8.212508694023878,-2.1882189288962683,-3.295703814670159,3.2422021293670777,0.0,1.6906532555775566,-0.9790808410464868,-0.1444545503183292,-0.42801348242469395,8.865229254721507,8.383714086993766,8.42116526670591
RRA_snow,9.887261108096702,-5.148610357508899,-4.2201724241876075,1.8870199553867373,0.0,-2.351238922047394,-6.595526617230362,-6.90902514017,-8.054500512449502,11.382407909808867,10.749382046180745,10.851871947911018
RRA_spatialmisalignment,17.05267337215457,0.21175224986764718,-3.6262572789836023,3.6990471148755866,0.0,4.51296982530438,1.4359449444150352,2.8123345685547863,1.5815246161990482,16.688724192694536,14.968237162519827,14.9748544203282
RRA_temporalmisalignment,8.44813486821414,0.1446813864251162,3.8497829779203574,7.2277788261936315,0.0,7.177454865697919,0.7988928728690725,1.6166572309240568,1.0253506950996805,9.66849091023465,9.184122790463611,9.127508334905944
